date,pizza_id,quantity,pizza_type_id,size,ration,totn
01/01/2015,hawaiian_m,1.0,hawaiian,m,1.0,
01/01/2015,classic_dlx_m,1.0,classic_dlx,m,1.0,
01/01/2015,five_cheese_l,1.0,five_cheese,l,1.4,
01/01/2015,ital_supr_l,1.0,ital_supr,l,1.4,
01/01/2015,mexicana_m,1.0,mexicana,m,1.0,
01/01/2015,thai_ckn_l,1.0,thai_ckn,l,1.4,
01/01/2015,ital_supr_m,1.0,ital_supr,m,1.0,
01/01/2015,prsc_argla_l,1.0,prsc_argla,l,1.4,
01/01/2015,ital_supr_m,1.0,ital_supr,m,1.0,
01/01/2015,ital_supr_m,1.0,ital_supr,m,1.0,
01/01/2015,bbq_ckn_s,1.0,bbq_ckn,s,0.6,
01/01/2015,the_greek_s,1.0,the_greek,s,0.6,
01/01/2015,spinach_supr_s,1.0,spinach_supr,s,0.6,
01/01/2015,spinach_supr_s,1.0,spinach_supr,s,0.6,
01/01/2015,classic_dlx_s,1.0,classic_dlx,s,0.6,
01/01/2015,green_garden_s,1.0,green_garden,s,0.6,
01/01/2015,ital_cpcllo_l,1.0,ital_cpcllo,l,1.4,
01/01/2015,ital_supr_l,1.0,ital_supr,l,1.4,
01/01/2015,ital_supr_s,1.0,ital_supr,s,0.6,
01/01/2015,mexicana_s,1.0,mexicana,s,0.6,
01/01/2015,spicy_ital_l,1.0,spicy_ital,l,1.4,
01/01/2015,spin_pesto_l,1.0,spin_pesto,l,1.4,
01/01/2015,veggie_veg_s,1.0,veggie_veg,s,0.6,
01/01/2015,mexicana_l,1.0,mexicana,l,1.4,
01/01/2015,southw_ckn_l,1.0,southw_ckn,l,1.4,
01/01/2015,bbq_ckn_l,1.0,bbq_ckn,l,1.4,
01/01/2015,cali_ckn_l,1.0,cali_ckn,l,1.4,
01/01/2015,cali_ckn_m,1.0,cali_ckn,m,1.0,
01/01/2015,pepperoni_l,1.0,pepperoni,l,1.4,
01/01/2015,cali_ckn_l,1.0,cali_ckn,l,1.4,
01/01/2015,cali_ckn_s,1.0,cali_ckn,s,0.6,
01/01/2015,ckn_pesto_l,1.0,ckn_pesto,l,1.4,
01/01/2015,ital_supr_m,1.0,ital_supr,m,1.0,
01/01/2015,mexicana_l,1.0,mexicana,l,1.4,
01/01/2015,the_greek_s,1.0,the_greek,s,0.6,
01/01/2015,big_meat_s,1.0,big_meat,s,0.6,
01/01/2015,five_cheese_l,1.0,five_cheese,l,1.4,
01/01/2015,soppressata_l,1.0,soppressata,l,1.4,
01/01/2015,the_greek_s,1.0,the_greek,s,0.6,
01/01/2015,four_cheese_l,1.0,four_cheese,l,1.4,
01/01/2015,napolitana_s,1.0,napolitana,s,0.6,
01/01/2015,thai_ckn_l,1.0,thai_ckn,l,1.4,
01/01/2015,bbq_ckn_l,1.0,bbq_ckn,l,1.4,
01/01/2015,calabrese_m,1.0,calabrese,m,1.0,
01/01/2015,five_cheese_l,1.0,five_cheese,l,1.4,
01/01/2015,four_cheese_m,1.0,four_cheese,m,1.0,
01/01/2015,ital_supr_m,1.0,ital_supr,m,1.0,
01/01/2015,ital_veggie_s,1.0,ital_veggie,s,0.6,
01/01/2015,mediterraneo_m,2.0,mediterraneo,m,1.0,
01/01/2015,mexicana_l,1.0,mexicana,l,1.4,
01/01/2015,peppr_salami_s,1.0,peppr_salami,s,0.6,
01/01/2015,spinach_fet_l,1.0,spinach_fet,l,1.4,
01/01/2015,napolitana_l,1.0,napolitana,l,1.4,
01/01/2015,ital_cpcllo_l,1.0,ital_cpcllo,l,1.4,
01/01/2015,sicilian_l,1.0,sicilian,l,1.4,
01/01/2015,big_meat_s,1.0,big_meat,s,0.6,
01/01/2015,five_cheese_l,1.0,five_cheese,l,1.4,
01/01/2015,ital_cpcllo_l,1.0,ital_cpcllo,l,1.4,
01/01/2015,five_cheese_l,1.0,five_cheese,l,1.4,
